1,20
2,50
3,80
4,110
5,140
6,170
7,200
8,230
9,260
10,290
11,320
12,350
13,380
14,410
15,440
16,470
17,500
18,530
19,560
20,590
21,620
22,650
23,680
24,710
25,740
26,770
27,800
28,830
29,860
30,890
31,920
32,950
33,980
34,1010
35,1040
36,1070
37,1093
38,1070
39,1040
40,1010
41,980
42,950
43,920
44,890
45,860
46,830
47,800
48,770
49,740
50,710
51,680
52,650
53,620
54,590
55,566
56,590
57,620
58,650
59,680
60,710
61,740
62,770
63,800
64,830
65,860
66,890
67,920
68,950
69,980
70,1010
71,1040
72,1070
73,1100
74,1130
75,1160
76,1190
77,1220
78,1250
79,1280
80,1310
81,1340
82,1370
83,1400
84,1430
85,1460
86,1490
87,1520
88,1550
89,1580
90,1610
91,1640
92,1670
93,1700
94,1730
95,1760
96,1790
97,1820
98,1850
99,1880
100,1910
101,1940
102,1970
103,2000
104,2030
105,2060
106,2090
107,2120
108,2150
109,2180
110,2210
